Band,Country,MDGenre,MAGenre,noOfAlbums,ytVideo
CANNIBAL CORPSE,USA,death metal,,0,https://www.youtube-nocookie.com/embed/afrGiaxOorc
CHILDREN OF BODOM,Finland,Extreme metal,,0,https://www.youtube-nocookie.com/embed/GCztVAF_f0k
CORONER,Switzerland,Technical thrash metal,,0,https://www.youtube-nocookie.com/embed/mAwY0Cf_sRo
ELUVEITIE,Switzerland,folk metal,,0,https://www.youtube-nocookie.com/embed/jMKykGYsmFY
ENSIFERUM,Finland,melodic folk metal,,0,https://www.youtube-nocookie.com/embed/tiuf4uSYFlQ
EPICA,The Netherlands,symphonic metal,,0,https://www.youtube-nocookie.com/embed/D_QLQHkj1XU
HATEBREED,USA,hardcore,,0,https://www.youtube-nocookie.com/embed/7UAK885wB54
IGORRR,France,,,0,https://www.youtube-nocookie.com/embed/JFuCp496C2c
JUDAS PRIEST,UK,metal gods,,0,https://www.youtube-nocookie.com/embed/nM__lPTWThU
KATAKLYSM,Canada,death metal,,0,
LEPROUS,Norway,Progressive Metal,,0,
LOUDNESS,Japan,HEAVY METAL,,0,https://www.youtube-nocookie.com/embed/MUrcQURUq0M
MUNICIPAL WASTE,USA,speed metal punk,,0,https://www.youtube-nocookie.com/embed/BtJ7hV5IbLs
OBITUARY,USA,Florida Death Metal,,0,https://www.youtube-nocookie.com/embed/q3VuWq3NxEA
WATAIN,Sweden,black metal,,0,https://www.youtube-nocookie.com/embed/qGPYb2y_PDA
